club_team_id,club_name,club_url
33,1860 München,https://www.thesportsdb.com/images/media/team/badge/qswryx1426865301.png/small
115487,9 de Octubre,https://www.thesportsdb.com/images/media/team/badge/yulnk21579989339.png/small
112585,Ñublense,https://www.thesportsdb.com/images/media/team/badge/0jpiwm1610649915.png/small
101014,İstanbul Başakşehir,https://www.thesportsdb.com/images/media/team/badge/895mqt1685993958.png/small
746,İstanbulspor,https://www.thesportsdb.com/images/media/team/badge/d46tgg1714571615.png/small
820,AaB,https://www.thesportsdb.com/images/media/team/badge/vtwqwt1473535469.png/small
1755,Aalesund,https://www.thesportsdb.com/images/media/team/badge/s1br7q1602448285.png/small
77,Aberdeen,https://www.thesportsdb.com/images/media/team/badge/xuvwys1447597299.png/small
113058,Abha,https://www.thesportsdb.com/images/media/team/badge/e00pwe1677530619.png/small
110313,Accrington Stanley,https://www.thesportsdb.com/images/media/team/badge/iefd1m1689629956.png/small
101016,Adana Demirspor,https://www.thesportsdb.com/images/media/team/badge/hewt221626264325.png/small
111393,Adelaide United,https://www.thesportsdb.com/images/media/team/badge/wpyuwv1473454602.png/small
278,AEK Athens,https://www.thesportsdb.com/images/media/team/badge/k2m59j1637477620.png/small
1943,AFC Bournemouth,https://www.thesportsdb.com/images/media/team/badge/y08nak1534071116.png/small
112259,AFC Wimbledon,https://www.thesportsdb.com/images/media/team/badge/md7iqx1684129667.png/small
271,AGF,https://www.thesportsdb.com/images/media/team/badge/vxuuts1473535487.png/small
433,AIK,https://www.thesportsdb.com/images/media/team/badge/rwsrxq1420769503.png/small
614,Ajaccio,https://www.thesportsdb.com/images/media/team/badge/0ikdv61709214400.png/small
245,Ajax,https://www.thesportsdb.com/images/media/team/badge/uvzy1d1721297408.png/small
113345,Al Adalh,https://www.thesportsdb.com/images/media/team/badge/l64quu1723610337.png/small
111701,Al Ain,https://www.thesportsdb.com/images/media/team/badge/y1cbqi1578856943.png/small
112990,Al Batin,https://www.thesportsdb.com/images/media/team/badge/lu34cz1635870900.png/small
112390,Al Fateh,https://www.thesportsdb.com/images/media/team/badge/a5cjf41662659789.png/small
113057,Al Feiha,https://www.thesportsdb.com/images/media/team/badge/jl3spp1677530565.png/small
605,Al Hilal,https://www.thesportsdb.com/images/media/team/badge/w0b80d1661656916.png/small
112096,Al Ittifaq,https://www.thesportsdb.com/images/media/team/badge/tddmm01674615100.png/small
